thread index,duration in microseconds,visited nodes
3,17980,21950
3,63,120
3,92,192
3,300,927
3,72131,60566
3,42011,29352
3,43308,38545
3,56236,48237
3,474,1321
3,70,189
3,110,345
3,89,270
3,27342,36542
3,136,258
3,2005,3624
3,10341,16608
3,94,260
3,17,51
3,19346,16072
3,39202,39498
3,13846,16817
3,18128,23286
3,33820,27999
3,23349,19662
3,27734,15794
3,270,574
3,59292,46677
3,9428,12996
3,299,722
3,167,434
3,148,392
3,191488,112076
3,164,306
3,86124,35380
3,23004,12058
3,247,510
3,82452,52279
3,85812,78525
3,33,33
3,90,162
3,0,1
3,0,1
3,17469,20784
3,28139,31049
3,15950,19170
3,605,1573
3,0,1
3,37395,41345
3,202,446
3,85013,71369
3,86350,32996
3,361,952
3,85,199
3,64,153
3,86315,45890
3,157965,110200
3,1062,2800
3,23086,29795
3,18656,13291
3,36014,17169
3,299,851
3,93972,38346
3,37069,18621
3,122705,104853
3,11290,14612
3,52792,54651
3,114,159
3,119,276
3,30843,33929
3,30625,33912
3,282,626
3,14328,19129
3,277,652
3,59518,62379
3,20620,23815
3,17008,20723
3,109354,96659
3,11517,15231
3,154,383
3,25,68
3,78175,75067
3,17871,19702
3,16728,19491
3,18725,23246
3,31577,39220
3,241,480
3,54164,56298
3,0,1
3,29571,32848
3,38119,41999
3,36,66
3,48,95
3,1542,3869
3,85013,82821
3,76,129
3,38303,40041
3,85,135
3,6014,8391
3,51057,55812
3,16856,20353
3,28978,29807
3,117,159
3,62397,63708
3,702,1700
3,30,58
3,67,288
3,34670,38437
3,15777,19929
3,88928,89041
3,20248,23455
3,54,94
3,11333,14924
3,36575,39822
3,1072,2948
3,39,105
3,33542,38080
3,9129,12914
3,825,2014
3,194,720
3,44,120
3,88,323
3,55946,56379
3,354,622
3,17,31
3,873,2231
3,115,333
3,123332,111948
3,72228,80297
3,29,44
3,19307,24011
3,7851,9466
3,0,1
3,29867,33965
3,307,670
3,179,463
3,42162,46586
3,463,1192
3,310,1000
3,31232,16005
3,65749,53703
3,7111,10207
3,115524,47243
3,69,111
3,18,40
3,342,831
3,24,77
3,10,19
3,578,1712
3,29287,27539
3,370,1048
3,18360,23878
3,50,81
3,34322,37094
3,5098,8303
3,23253,27838
3,0,1
3,1405,4438
3,42622,46809
3,14346,17921
3,108,217
3,23682,31905
3,847,2382
3,41292,45159
3,8567,11415
3,45727,47076
3,4955,6765
3,38,65
3,128,307
3,59266,56584
3,509,1115
3,32,89
3,28,69
3,74,180
3,8,22
3,52476,50675
3,2085,3031
3,71,152
3,272,758
3,74867,77786
3,50387,48193
3,5518,8577
3,33582,32754
3,70760,30059
3,201920,101344
3,0,1
3,11976,6799
3,112,208
3,144064,96361
3,107,214
3,59189,60680
3,18,27
3,7324,10365
3,21,36
3,48061,47497
3,20760,26428
3,856,2223
3,15435,22827
3,10546,15329
3,20016,24735
3,29,28
3,137,296
3,11189,15036
3,16487,21351
3,101,185
3,83693,85973
3,32,41
3,47440,53947
3,204,407
3,58874,64733
3,37,59
3,64913,72005
3,18587,25100
3,31047,33763
3,51461,54023
3,39,48
3,44684,45747
3,12074,15679
3,1568,3871
3,34,83
3,6840,9529
3,67,154
3,7561,11722
3,134,294
3,8,10
3,7406,10129
3,75,154
3,39,74
3,173,449
3,51,112
3,33,76
3,45,122
3,28,61
3,325,1239
3,8540,10253
3,91652,92502
3,426,927
3,145,348
3,114246,102968
3,33209,35958
3,143,264
3,13921,18504
3,12436,15695
3,304,841
3,8540,12864
3,27935,27794
3,23,31
3,2014,3352
3,13134,18265
3,102,164
3,11,22
3,27,59
3,412,1429
3,29,77
3,125,402
3,50299,53566
3,10080,13433
3,10736,14688
3,159,309
3,35286,38476
3,852,2244
3,78,228
3,91,204
3,107,266
3,80,242
3,25931,31249
3,402,874
3,30,76
3,93790,84973
3,77,113
3,72847,76291
3,45034,51248
3,41992,40973
3,8,8
3,51422,51654
3,96312,93742
3,92,156
3,34,55
3,244,739
3,68538,72000
3,5056,6751
3,0,1
3,0,1
3,16460,20308
3,37973,42308
3,17312,21772
3,30346,35912
3,66036,69653
3,99237,97104
3,36584,43181
3,11997,16063
3,26,51
3,71997,74856
3,46,58
3,1176,2842
3,237,712
3,21,77
3,45055,46310
3,26666,33669
3,12360,14375
3,21540,25584
3,10377,12061
3,21662,25700
3,284,611
3,26,52
3,17864,21083
3,20967,28874
3,20,26
3,359,773
3,24213,29655
3,14888,18840
3,592,1762
3,52835,46381
3,124729,111076
3,21,31
3,88,146
3,31,53
3,123,248
3,6456,8947
3,101,206
3,9885,12202
3,12082,14154
3,103,164
3,48738,48902
3,295,559
3,89241,81527
3,46,64
3,21750,23811
3,13434,18393
3,219,143
3,16219,20380
3,10611,13686
3,0,1
3,55,99
3,27,94
3,25503,27685
3,184,297
3,1,1
3,57685,58931
3,11687,15347
3,96961,86579
3,692,1704
3,22839,22848
3,26,38
3,61923,62077
3,51329,56470
3,143,254
3,134,343
3,42797,41159
3,19979,23489
3,23108,26183
3,32588,35667
3,7984,12122
3,108,220
3,369,931
3,5476,8374
3,953,1672
3,26,75
3,14386,20094
3,41992,43557
3,580,1669
3,71941,74367
3,54,88
3,51443,52659
3,50240,50349
3,503,1377
3,2654,4210
3,11774,15777
3,245,503
3,16,37
3,0,1
3,151,400
3,8325,12106
3,23475,29338
3,154,302
3,17,30
3,172,471
3,94,257
